lemma,pos,synonyms,hypernyms
legend,NNS,caption|fable|legend,story|title
later,RB,after|afterward|afterwards|by and by|later|later on|subsequently,NA
romanticize,VBN,glamorize|glamourise|romanticise|romanticize,idealize|idealise|change|alter|modify|act|behave|do
writer,NNS,author|writer,communicator|literate|literate person
still,RB,all the same|at the same time|even|even so|however|nevertheless|nonetheless|notwithstanding|still|stock-still|withal|yet,NA
exercise,NN,drill|employment|example|exercise|exercising|physical exercise|physical exertion|practice|practice session|recitation|usage|use|utilisation|utilization|workout,effort|elbow grease|exertion|travail|sweat|activity|training|preparation|grooming|lesson|ceremony|ceremonial|ceremonial occasion|observance|action
power,NN,ability|baron|big businessman|business leader|electrical energy|electricity|exponent|force|great power|index|king|magnate|major power|might|mightiness|mogul|office|power|powerfulness|superpower|top executive|tycoon|world power,quality|physical phenomenon|cognition|knowledge|noesis|state|causal agent|cause|causal agency|mathematical notation|strength|nation|country|land|commonwealth|res publica|body politic|energy|free energy|businessman|man of affairs
today,NN,today,present|nowadays|day|twenty-four hours|twenty-four hour period|24-hour interval|solar day|mean solar day
be,VBD,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
organize,VBN,coordinate|devise|direct|engineer|form|get up|machinate|mastermind|orchestrate|organise|organize|prepare|unionise|unionize,make|create|manage|deal|care|handle|plan|arrange|set up|initiate|pioneer|join|fall in|get together
family-,NN,,NA
clan-based,JJ,,NA
system,NN,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness
celtic,NNP,celtic|celtic language,indo-european|indo-european language|indo-hittite
series,NN,serial|serial publication|series,ordering|order|ordination|broadcast|program|programme|periodical|contest|competition|connection|connexion|connectedness|group|grouping|polynomial|multinomial
independent,JJ,autonomous|independent|main(a)|self-governing|sovereign,
kingdom,NNS,kingdom|land|realm,sphere|domain|area|orbit|field|arena|country|state|land|demesne|monarchy|taxonomic group|taxonomic category|taxon|group|grouping
nominally,NNP,,NA
acknowledge,VBD,acknowledge|admit|know|notice|receipt|recognise|recognize,declare|adjudge|hold|communicate|pass on|pass|pass along|put across|react|respond|thank|give thanks|accept
elect,VBN,elect,choose|take|select|pick out|choose|take|select|pick out
high,NNP,heights|high|high gear|high school|highschool|senior high|senior high school,degree|grade|level|air mass|elation|topographic point|place|spot|secondary school|lyceum|lycee|gymnasium|middle school|gear|gear mechanism
king,NNP,b. b. king|baron|big businessman|billie jean king|billie jean moffitt king|business leader|king|king|magnate|male monarch|martin luther king|martin luther king jr.|mogul|power|queen|rex|riley b king|top executive|tycoon|world-beater,sovereign|crowned head|monarch|rival|challenger|competitor|competition|contender|businessman|man of affairs|eminence|distinction|preeminence|note|checker|chequer|face card|picture card|court card|chessman|chess piece
seat,NN,arse|ass|backside|behind|bottom|bum|buns|butt|buttocks|can|derriere|fanny|fundament|hind end|hindquarters|keister|nates|place|posterior|prat|rear|rear end|rump|seat|stern|tail|tail end|tooshie|tush,space|body part|furniture|piece of furniture|article of furniture|support|center|centre|middle|heart|eye|location|legal right|part|portion|cloth covering
fabled,JJ,fabled|legendary,
tara,NNP,tara,
overlord,NN,lord|master|overlord,ruler|swayer
town,NNS,ithiel town|town|town|townsfolk|township|townspeople,municipality|administrative district|administrative division|territorial division|architect|designer
cow,NN,cow|moo-cow,cattle|cows|kine|oxen|bos taurus|placental|placental mammal|eutherian|eutherian mammal|unpleasant woman|disagreeable woman
medium,NN,culture medium|mass medium|medium|metier|sensitive|spiritualist,instrumentality|instrumentation|environment|environs|surroundings|surround|communication|communicating|food|nutrient|liquid|substance|state|psychic|transmission|occupation|business|job|line of work|line
exchange,NN,central|commutation|exchange|interchange|rally|substitution|telephone exchange,chemical phenomenon|conversation|group action|transaction|dealing|dealings|workplace|work|commerce|commercialism|mercantilism|change|capture
learning,NNP,acquisition|encyclopaedism|encyclopedism|eruditeness|erudition|learnedness|learning|scholarship,basic cognitive process|education
revered,JJ,august|revered|venerable,
game,NNS,biz|game|plot|secret plan,activity|contest|competition|diversion|recreation|animal|animate being|beast|brute|creature|fauna|part|section|division|score|meat|scheme|strategy|game equipment|occupation|business|job|line of work|line|play|frolic|romp|gambol|caper
play,VBN,act|act as|bet|bring|dally|diddle|encounter|fiddle|flirt|make for|meet|play|playact|recreate|represent|roleplay|run|spiel|take on|toy|trifle|wager|work|wreak,NA
poet,NN,poet,writer|author
hold,VBN,accommodate|adjudge|admit|agree|apply|arrest|bear|bind|book|carry|check|concord|concur|confine|constrain|contain|control|curb|declare|deem|defend|defy|entertain|give|go for|guard|halt|harbor|harbour|have|have got|hold|hold back|hold in|hold up|keep|keep back|maintain|make|moderate|nurse|obligate|oblige|obtain|prevail|reserve|restrain|retain|support|sustain|take|take for|take hold|throw|view as|withstand,direct|see|consider|reckon|view|regard|feel|experience|disable|disenable|incapacitate|keep|hold on|have|have got|hold|include|continue|go on|proceed|go along|exist|be|affirm|verify|assert|avow|aver|swan|swear|request|ask for|bespeak|call for|quest|protect|relate|capture|enamour|trance|catch|becharm|enamor|captivate|beguile|charm|fascinate|bewitch|entrance|enchant|think|believe|conceive|resist|hold out|withstand|stand firm|refer|pertain|concern|come to|bear on|touch|touch on|have to do with|postpone|prorogue|hold over|put over|table|shelve|set back|defer|remit|put off|restrain|keep back|hold back|prevent|control|command|stop|cover|hit the bottle|drink|booze|fuddle|aim|take|train|take aim|evaluate|pass judgment|judge
awe,NN,awe|fear|reverence|veneration,wonder|wonderment|admiration|emotion
law,NNP,constabulary|jurisprudence|law|law of nature|legal philosophy|natural law|police|police force|practice of law,collection|aggregation|accumulation|assemblage|legal document|legal instrument|official document|instrument|concept|conception|construct|philosophy|learned profession|force|personnel|law enforcement agency
religion,NN,faith|organized religion|religion|religious belief,belief|theological virtue|supernatural virtue|institution|establishment
important,JJ,authoritative|crucial|important|of import|significant,
culture,NN,acculturation|civilisation|civilization|cultivation|culture|finish|polish|refinement,society|taste|appreciation|discernment|perceptiveness|content|cognitive content|mental object|growth|growing|maturation|development|ontogeny|ontogenesis|perfection|flawlessness|ne plus ultra|attitude|mental attitude|cultivation
druidic,JJ,,NA
law,NN,constabulary|jurisprudence|law|law of nature|legal philosophy|natural law|police|police force|practice of law,collection|aggregation|accumulation|assemblage|legal document|legal instrument|official document|instrument|concept|conception|construct|philosophy|learned profession|force|personnel|law enforcement agency
elaborate,VB,complicate|dilate|elaborate|enlarge|expand|expatiate|exposit|expound|flesh out|lucubrate|rarify|refine|work out,clarify|clear up|elucidate|produce|make|create|change|alter|modify|develop|make grow
write,VBN,compose|drop a line|indite|pen|save|spell|write,create verbally|communicate|intercommunicate|correspond|make|create|trace|draw|line|describe|delineate|record|tape|create by mental act|create mentally
code,NN,code|codification|computer code,written communication|written language|black and white|coding system
interpret,VBN,construe|interpret|read|rede|render|represent|see|translate|understand,understand|explain|explicate|perform|execute|do|re-create|repeat|reiterate|ingeminate|iterate|restate|retell
class,NN,category|class|course|course of instruction|course of study|division|family|form|grade|social class|socio-economic class|stratum|year,collection|aggregation|accumulation|assemblage|gathering|people|education|instruction|teaching|pedagogy|didactics|educational activity|league|conference|taxonomic group|taxonomic category|taxon|elegance
professional,JJ,professional,
lawyer,NNS,attorney|lawyer,professional|professional person
know,VBN,acknowledge|bang|be intimate|bed|bonk|cognise|cognize|do it|eff|experience|fuck|get it on|get laid|have a go at it|have intercourse|have it away|have it off|have sex|hump|jazz|know|lie with|live|love|make love|make out|recognise|recognize|roll in the hay|screw|sleep together|sleep with,experience|see|go through|accept|copulate|mate|pair|couple|recognize|recognise|realize|realise|agnize|agnise|distinguish|separate|differentiate|secern|secernate|severalize|severalise|tell|tell apart|remember|retrieve|recall|call back|call up|recollect|think
brehon,NNS,,NA
brehon,NN,,NA
law,NNS,constabulary|jurisprudence|law|law of nature|legal philosophy|natural law|police|police force|practice of law,collection|aggregation|accumulation|assemblage|legal document|legal instrument|official document|instrument|concept|conception|construct|philosophy|learned profession|force|personnel|law enforcement agency
give,VBD,afford|apply|break|cave in|chip in|collapse|commit|consecrate|contribute|dedicate|devote|ease up|establish|fall in|feed|founder|generate|gift|give|give way|grant|hand|have|hold|impart|kick in|leave|make|move over|open|pass|pass on|pay|present|reach|render|return|sacrifice|throw|turn over|yield,supply|provide|render|furnish|transfer|state|say|tell|communicate|intercommunicate|direct|make|create|think|cogitate|cerebrate|produce|pass|hand|reach|pass on|turn over|give|utter|emit|let out|let loose|release|relinquish|resign|free|give up|use|utilize|utilise|apply|employ|administer|dispense|distribute|mete out|deal|parcel out|lot|shell out|deal out|dish out|allot|dole out|move|ply|cater|change|estimate|gauge|approximate|guess|judge|execute|compensate|recompense|repair|indemnify|show|perform|stretch|toast|drink|pledge|salute|wassail|accord|grant|express|evince|submit|lead|permit|allow|let|countenance|inflict|bring down|visit|impose|happen|hap|go on|pass off|occur|fall out|come about|take place|accept|consent|go for|offer|proffer
woman,NNS,adult female|char|charwoman|cleaning lady|cleaning woman|fair sex|woman|womanhood,female|female person|adult|grownup|cleaner|class|stratum|social class|socio-economic class
high,JJ,eminent|gamey|gamy|high|high-pitched|in high spirits|mellow,
status,NN,condition|position|status,state
—,NN,,NA
own,VBP,have|own|possess,
property,NN,attribute|belongings|dimension|holding|place|prop|property,possession|attribute|geographical area|geographic area|geographical region|geographic region|concept|conception|construct|object|physical object
divorce,NN,divorce|divorcement,separation
even,RB,even|still|yet,NA
enter,VB,accede|come in|embark|enrol|enroll|enter|figure|get in|get into|go in|go into|infix|inscribe|insert|introduce|move into|participate|put down|record|recruit,register|be|save|preserve|succeed|come after|follow|take office|attach|get down|begin|get|start out|start|set about|set out|commence
profession,NNS,professing|profession,occupational group|vocation|occupation|business|job|line of work|line|avowal|avouchment|affirmation
st,NNP,,NA
patrick,NNP,patrick|saint patrick|st. patrick,
come,VBD,add up|amount|arrive|come|come in|come up|derive|descend|do|fall|fare|follow|get|get along|hail|issue forth|make out|number|occur|total,NA
prisoner,NN,captive|prisoner,unfortunate|unfortunate person
capture,VBN,appropriate|becharm|beguile|bewitch|captivate|capture|catch|charm|conquer|enamor|enamour|enchant|entrance|fascinate|get|seize|trance,represent|interpret|attract|appeal|seize|prehend|clutch|change|alter|modify|assume|usurp|take over|arrogate|get|acquire
raid,NN,foray|maraud|raid,penetration|incursion|embezzlement|peculation|defalcation|misapplication|misappropriation
roman,NNP,roman|roman|roman letters|roman print|roman type,italian|european|proportional font
settlement,NN,closure|colonisation|colonization|colony|liquidation|resolution|settlement|small town|village,body|community|agreement|understanding|constitution|establishment|formation|organization|organisation|decision making|deciding|geographical area|geographic area|geographical region|geographic region|termination|ending|conclusion
britain,NNP,britain|great britain|u.k.|uk|united kingdom|united kingdom of great britain and northern ireland,
eventually,RB,eventually|finally,
escape,VBD,break away|break loose|bunk|elude|escape|fly the coop|get away|get by|get off|get out|head for the hills|hightail it|lam|miss|run|run away|scarper|scat|take to the woods|turn tail,flee|fly|take flight|avoid|perplex|vex|stick|get|puzzle|mystify|baffle|beat|pose|bewilder|flummox|stupefy|nonplus|gravel|amaze|dumbfound|escape|get away|break loose|leave|go forth|go away|issue|emerge|come out|come forth|egress
return,VBD,bring back|come back|deliver|devolve|fall|generate|give|give back|hark back|pass|recall|reelect|refund|regress|rejoin|render|repay|retort|retrovert|return|revert|riposte|take back|turn back|yield,travel|go|move|locomote|give|change by reversal|turn|reverse|denote|refer|bring|convey|take|reciprocate|transport|carry|answer|reply|respond|reappear|re-emerge|pay|communicate|pass on|pass|pass along|put across|elect|change hands|change owners|return|produce|make|create|submit
missionary,JJ,missional|missionary,
time,NN,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
death,NN,death|death|decease|demise|destruction|dying|end|expiry|last,change|alteration|modification|organic phenomenon|state|end|ending|killing|kill|putting to death
whole,JJ,hale|solid|unanimous|unharmed|unhurt|unscathed|whole,
effectively,RB,effectively|efficaciously|in effect,
christianized,NNP,,NA
peaceful,JJ,passive|peaceable|peaceful,
process,NN,appendage|cognitive operation|cognitive process|mental process|operation|outgrowth|physical process|procedure|process|summons|unconscious process,activity|cognition|knowledge|noesis|writ|judicial writ|body part|physical entity
single,JJ,exclusive|individual|single|single(a)|undivided|unmarried,
martyr,NN,martyr|sufferer,victim
speak,VBZ,address|mouth|speak|talk|utter|verbalise|verbalize,communicate|intercommunicate|sound
natural,JJ,biological|born(p)|innate(p)|instinctive|lifelike|natural|raw(a)|rude(a),
diplomacy,NN,delicacy|diplomacy|diplomatic negotiations|discreetness|finesse|statecraft|statesmanship,negotiation|dialogue|talks|tact|tactfulness|wisdom|wiseness
as,RB,as|equally|every bit,
well,RB,advantageously|comfortably|considerably|easily|good|intimately|substantially|well,NA
power,NNS,ability|baron|big businessman|business leader|electrical energy|electricity|exponent|force|great power|index|king|magnate|major power|might|mightiness|mogul|office|power|powerfulness|superpower|top executive|tycoon|world power,quality|physical phenomenon|cognition|knowledge|noesis|state|causal agent|cause|causal agency|mathematical notation|strength|nation|country|land|commonwealth|res publica|body politic|energy|free energy|businessman|man of affairs
persuasion,NN,opinion|persuasion|sentiment|suasion|thought|view,communication|communicating|belief
many,JJ,many,
surround,VBP,beleaguer|besiege|border|circumvent|environ|fence|fence in|hem in|palisade|ring|skirt|smother|surround|wall,touch|adjoin|meet|contact|cover|attack|assail|protect
mission,NN,charge|commission|delegacy|delegation|deputation|foreign mission|military mission|mission|missionary post|missionary station|missionary work,nongovernmental organization|ngo|operation|military operation|assignment|duty assignment|work|organization|organisation
use,VBD,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
example,NN,case|deterrent example|example|exemplar|exercise|good example|illustration|instance|lesson|model|object lesson|representative,information|representation|mental representation|internal representation|ideal|admonition|monition|warning|word of advice|happening|occurrence|occurrent|natural event|lesson
shamrock,NN,common wood sorrel|cuckoo bread|dutch clover|hop clover|lesser yellow trefoil|oxalis acetosella|shamrock|trifolium dubium|trifolium repens|white clover,clover|trefoil|oxalis|sorrel|wood sorrel
explain,VB,excuse|explain|explicate,inform|state|say|tell|justify|vindicate
christian,NNP,christian,religious person
trinity,NNP,3|blessed trinity|deuce-ace|holy trinity|iii|leash|sacred trinity|tercet|ternary|ternion|terzetto|three|threesome|tierce|trey|triad|trine|trinity|trinity|trio|triplet|troika,digit|figure|godhead|lord|creator|maker|divine|god almighty|almighty|jehovah|gathering|assemblage
laoghaire,NNP,,NA
assemble,VBN,assemble|foregather|forgather|gather|get together|meet|piece|put together|set up|tack|tack together,join|make|create|interact
crowd,NN,bunch|crew|crowd|gang,gathering|assemblage|gathering|assemblage
king,NN,b. b. king|baron|big businessman|billie jean king|billie jean moffitt king|business leader|king|king|magnate|male monarch|martin luther king|martin luther king jr.|mogul|power|queen|rex|riley b king|top executive|tycoon|world-beater,sovereign|crowned head|monarch|rival|challenger|competitor|competition|contender|businessman|man of affairs|eminence|distinction|preeminence|note|checker|chequer|face card|picture card|court card|chessman|chess piece
convert,VBN,change|change over|commute|convert|convince|exchange|win over,change|alter|modify|replace|score|hit|tally|rack up|persuade
plant,NN,flora|industrial plant|plant|plant life|works,building complex|complex|organism|being|actor|histrion|player|thespian|role player|contrivance|stratagem|dodge
symbol,NN,symbol|symbolic representation|symbolisation|symbolization,signal|signaling|sign|representational process
ever,RB,always|e'er|ever|ever so|of all time,NA
christianity,NNP,christendom|christian religion|christianity,religion|faith|religious belief|body
sophisticated,JJ,advanced|sophisticated,
successfully,RB,successfully,
fused,JJ,amalgamate|amalgamated|coalesced|consolidated|fused,
enter,VBD,accede|come in|embark|enrol|enroll|enter|figure|get in|get into|go in|go into|infix|inscribe|insert|introduce|move into|participate|put down|record|recruit,register|be|save|preserve|succeed|come after|follow|take office|attach|get down|begin|get|start out|start|set about|set out|commence
golden,NNP,,NA
age,NNP,age|eld|geezerhood|historic period|long time|old age|years,property|era|epoch|time of life|time period|period of time|period
monastery,NNS,monastery,religious residence|cloister
major,JJ,major|major(ip),
preserver,NNS,flotation device|life preserver|preserver|refinisher|renovator|restorer,skilled worker|trained worker|skilled workman|cook|person|individual|someone|somebody|mortal|soul|float|rescue equipment
learn,VBG,acquire|ascertain|check|con|determine|discover|find out|get a line|get wind|get word|hear|instruct|larn|learn|memorise|memorize|pick up|read|see|study|take|teach|watch,study|hit the books|inform
literacy,NN,literacy,skill|accomplishment|acquirement|acquisition|attainment
so-called,JJ,alleged(a)|so-called|supposed,
dark,NNP,dark|darkness|night|nighttime|shadow|wickedness,illumination|condition|status|scene|time period|period of time|period|unenlightenment
age,NNPS,age|eld|geezerhood|historic period|long time|old age|years,property|era|epoch|time of life|time period|period of time|period
light,NN,brightness|brightness level|christ within|igniter|ignitor|illumination|inner light|light|light|light source|light within|lighter|lighting|lightness|luminance|luminosity|luminousness|spark|sparkle|twinkle|visible light|visible radiation,actinic radiation|actinic ray|source of illumination|position|view|perspective|physical property|scene|condition|status|visual property|friend|illumination|insight|brainstorm|brainwave|vitality|verve|expression|look|aspect|facial expression|face|public knowledge|general knowledge|ethical motive|ethics|morals|morality|visual signal|device
world,NN,cosmos|creation|domain|earth|earth|earthly concern|existence|globe|human beings|human race|humanity|humankind|humans|macrocosm|man|mankind|populace|public|reality|universe|world|worldly concern,natural object|class|stratum|social class|socio-economic class|experience|people|part|piece|concern|homo|man|human being|human|group|grouping
send,VBG,air|beam|broadcast|charge|commit|direct|get off|institutionalise|institutionalize|mail|place|post|send|send off|send out|ship|station|transmit|transport,move|displace|transmit|transfer|transport|channel|channelize|channelise|publicize|publicise|air|bare
saint,NNS,angel|apotheosis|holy man|holy person|ideal|nonesuch|nonpareil|nonsuch|paragon|saint,deity|divinity|god|immortal|good person|model|role model
scholar,NNS,assimilator|bookman|learner|scholar|scholarly person|student,intellectual|intellect|person|individual|someone|somebody|mortal|soul|student|pupil|educatee
europe,NNP,common market|ec|eec|eu|europe|european community|european economic community|european union,world organization|world organisation|international organization|international organisation|global organization|collection|aggregation|accumulation|assemblage
importance,NN,grandness|importance,value|standing
phase,NN,form|phase|phase angle|stage,time period|period of time|period|state of matter|state|point|point in time|appearance|visual aspect
civilization,NN,civilisation|civilization|culture|refinement,society|social process|excellence
general,JJ,cosmopolitan|ecumenical|general|oecumenical|universal|world-wide|worldwide,
cannot,NN,,NA
be,VB,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
overrated,JJ,,NA
however,RB,all the same|at the same time|even so|however|nevertheless|nonetheless|notwithstanding|still|withal|yet,NA
church,NN,christian church|church|church building|church service,religion|faith|organized religion|place of worship|house of prayer|house of god|house of worship|service|religious service|divine service|body
cultural,JJ,cultural|ethnic|ethnical,
base,NN,al qaeda|al qaida|al-qa'ida|al-qaeda|al-qaida|alkali|bag|base|base|base of operations|basis|cornerstone|floor|foot|foundation|fundament|groundwork|home|infrastructure|nucleotide|pedestal|qaeda|radical|radix|root|root word|stand|stem|substructure|theme|understructure,military installation|support|baseball equipment|part|piece|bottom|control|assumption|supposition|supposal|ester|compound|chemical compound|flank|portion|component part|component|constituent|number|location|form|word form|signifier|descriptor|store|stock|fund|ingredient|underside|undersurface|electrode
develop,VBN,acquire|arise|break|build up|develop|educate|evolve|explicate|formulate|germinate|get|grow|make grow|modernise|modernize|originate|prepare|produce|recrudesce|rise|spring up|train|uprise,create|create by mental act|create mentally|change|become|better|improve|amend|ameliorate|meliorate|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose|teach|learn|instruct|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|grow|alter|modify|generate|bring forth|superimpose|superpose|lay over|play|complicate|refine|rarify|elaborate|expand
differently,RB,differently|otherwise,
emerge,VBG,come forth|come out|egress|emerge|go forth|issue,appear|surface|come up|rise up|rise|originate|arise|develop|uprise|spring up|grow
supersede,VBN,replace|supersede|supervene upon|supplant,succeed|come after|follow
rome,NNP,capital of italy|eternal city|italian capital|roma|rome,leadership|leaders
centralize,VBN,centralise|centralize|concentrate,change|alter|modify
administration,NN,administration|brass|disposal|establishment|giving medication|governance|governing|governing body|government|government activity|judicature|organisation|organization|presidency|presidential term,management|direction|body|medication|tenure|term of office|incumbency|social control|justice
political,JJ,political,
organization,NN,administration|arrangement|brass|constitution|establishment|formation|governance|governing body|organisation|organization|system,social group|structure|body|administration|disposal|orderliness|methodicalness|activity|beginning|start|commencement
continue,VBD,bear on|carry on|continue|cover|extend|go along|go forward|go on|keep|keep on|persist in|preserve|proceed|remain|retain|stay|stay on|uphold,act|move|talk|speak|keep|maintain|hold|travel|go|locomote|prolong|sustain|keep up|be
much,JJ,much(a),
have,VBD,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
pagan,NN,gentile|heathen|hedonist|infidel|pagan|pleasure seeker,nonreligious person|religious person|sensualist
rule,NN,convention|dominion|formula|linguistic rule|normal|pattern|prescript|principle|regulation|rule|ruler,concept|conception|construct|practice|direction|instruction|generalization|generalisation|generality|duration|continuance|dominance|ascendance|ascendence|ascendancy|ascendency|control|law|law of nature|procedure|process|measuring stick|measure|measuring rod
site,NN,internet site|land site|site|situation|web site|website,tract|piece of land|piece of ground|parcel of land|parcel|position|place|computer|computing machine|computing device|data processor|electronic computer|information processing system
dublin,NNP,capital of ireland|dublin|irish capital,
only,RB,alone|but|entirely|exclusively|just|merely|only|only if|only when|simply|solely,NA
crossroads,NNS,critical point|crossroads|hamlet|juncture,community|crisis|overlap|convergence|intersection
baile,NNP,,NA
atha,NNP,,NA
cliath,NNP,,NA
city,NNP,city|metropolis|urban center,municipality|administrative district|administrative division|territorial division
hurdle,NNP,hurdle|vault,barrier|obstacle|obstruction|jump|jumping
designation,NN,appellation|appellative|appointment|assignment|denomination|designation|identification|naming,name|decision|determination|conclusion|finding
see,VBN,ascertain|assure|attend|catch|check|come across|consider|construe|control|date|determine|discover|encounter|ensure|envision|escort|examine|experience|fancy|figure|find|find out|get a line|get wind|get word|go out|go steady|go through|hear|image|insure|interpret|learn|look|meet|pick up|picture|project|realise|realize|reckon|regard|run across|run into|see|see to it|take care|take in|understand|view|visit|visualise|visualize|watch|witness,perceive|comprehend|experience|see|go through|imagine|conceive of|ideate|envisage|think|believe|consider|conceive|watch|verify|visit|call in|call|tour|care|give care|receive|take in|invite|consort|associate|affiliate|assort|debate|moot|turn over|deliberate|detect|observe|find|discover|notice|undergo|accompany|bet|wager|play|understand
bus,NNS,autobus|bus|bus topology|busbar|charabanc|coach|double-decker|heap|jalopy|jitney|motorbus|motorcoach|omnibus|passenger vehicle,public transport|topology|network topology|conductor|car|auto|automobile|machine|motorcar|dysphemism
community,NNP,biotic community|community|community of interests|residential area|residential district,gathering|assemblage|people|ownership|world organization|world organisation|international organization|international organisation|global organization|agreement|accord|district|territory|territorial dominion|dominion|group|grouping
cluster,VBN,bunch|bundle|clump|cluster|constellate|flock,meet|gather|assemble|forgather|foregather|form
castle,NNS,castle|castling|palace|rook,mansion|mansion house|manse|hall|residence|fortification|munition|chessman|chess piece|chess move
subject,JJ,capable|dependent|open|subject,
repeat,VBN,double|duplicate|echo|ingeminate|iterate|recapitulate|recur|reduplicate|reiterate|repeat|replicate|reprise|reprize|restate|retell|take over,tell|reproduce|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|utter|emit|let out|let loose|act|move|play|spiel
viking,NNP,viking,scandinavian|norse|northman
raid,NNS,foray|maraud|raid,penetration|incursion|embezzlement|peculation|defalcation|misapplication|misappropriation
viking,NNPS,viking,scandinavian|norse|northman
sack,VBD,can|clear|dismiss|displace|fire|force out|give notice|give the axe|give the sack|net|plunder|sack|sack up|send away|terminate,take|remove|profit|gain|benefit|encase|incase|case
great,JJ,bang-up|big(p)|bully|capital|corking|cracking|dandy|enceinte|expectant|gravid|great|great(p)|groovy|heavy(p)|keen|large(p)|majuscule|neat|nifty|not bad(p)|old(a)|outstanding|peachy|slap-up|smashing|swell|with child(p),
center,NNS,center|center field|center of attention|centerfield|centre|centre of attention|core|essence|eye|gist|heart|heart and soul|inwardness|kernel|mall|marrow|meat|middle|midpoint|nerve center|nerve centre|nitty-gritty|nub|pith|plaza|shopping center|shopping centre|shopping mall|snapper|substance|sum,area|country|tract|piece of land|piece of ground|parcel of land|parcel|building|edifice|point|content|cognitive content|mental object|object|neural structure|formation|basketball player|basketeer|cager|lineman|place|property|class|stratum|social class|socio-economic class|hockey player|ice-hockey player|sweet|confection|mercantile establishment|retail store|sales outlet|outlet|position
